Benchmark,Compilation,Format,Lines
BenchMarkishTopics,opt,ll,74
BenchMarkishTopics,opt,s,165
BenchMarkishTopics,reg,ll,82
BenchMarkishTopics,reg,s,184
BenchMarkishTopics,stack,ll,130
BenchMarkishTopics,stack,s,204
bert,opt,ll,382
bert,opt,s,950
bert,reg,ll,432
bert,reg,s,1037
bert,stack,ll,694
bert,stack,s,1152
biggest,opt,ll,44
biggest,opt,s,87
biggest,reg,ll,51
biggest,reg,s,107
biggest,stack,ll,97
biggest,stack,s,131
binaryConverter,opt,ll,52
binaryConverter,opt,s,127
binaryConverter,reg,ll,61
binaryConverter,reg,s,148
binaryConverter,stack,ll,131
binaryConverter,stack,s,198
brett,opt,ll,477
brett,opt,s,1125
brett,reg,ll,581
brett,reg,s,1295
brett,stack,ll,715
brett,stack,s,1391
CompatibilityTest,opt,ll,477
CompatibilityTest,opt,s,1125
CompatibilityTest,reg,ll,581
CompatibilityTest,reg,s,1295
CompatibilityTest,stack,ll,715
CompatibilityTest,stack,s,1391
creativeBenchMarkName,opt,ll,127
creativeBenchMarkName,opt,s,245
creativeBenchMarkName,reg,ll,140
creativeBenchMarkName,reg,s,293
creativeBenchMarkName,stack,ll,240
creativeBenchMarkName,stack,s,314
fact_sum,opt,ll,30
fact_sum,opt,s,90
fact_sum,reg,ll,40
fact_sum,reg,s,107
fact_sum,stack,ll,74
fact_sum,stack,s,127
Fibonacci,opt,ll,19
Fibonacci,opt,s,52
Fibonacci,reg,ll,20
Fibonacci,reg,s,53
Fibonacci,stack,ll,36
Fibonacci,stack,s,68
GeneralFunctAndOptimize,opt,ll,84
GeneralFunctAndOptimize,opt,s,185
GeneralFunctAndOptimize,reg,ll,104
GeneralFunctAndOptimize,reg,s,227
GeneralFunctAndOptimize,stack,ll,147
GeneralFunctAndOptimize,stack,s,221
hailstone,opt,ll,23
hailstone,opt,s,60
hailstone,reg,ll,30
hailstone,reg,s,80
hailstone,stack,ll,52
hailstone,stack,s,94
hanoi_benchmark,opt,ll,134
hanoi_benchmark,opt,s,335
hanoi_benchmark,reg,ll,138
hanoi_benchmark,reg,s,339
hanoi_benchmark,stack,ll,198
hanoi_benchmark,stack,s,364
killerBubbles,opt,ll,104
killerBubbles,opt,s,191
killerBubbles,reg,ll,117
killerBubbles,reg,s,216
killerBubbles,stack,ll,193
killerBubbles,stack,s,252
mile1,opt,ll,38
mile1,opt,s,86
mile1,reg,ll,44
mile1,reg,s,101
mile1,stack,ll,75
mile1,stack,s,115
mixed,opt,ll,100
mixed,opt,s,204
mixed,reg,ll,137
mixed,reg,s,257
mixed,stack,ll,215
mixed,stack,s,286
OptimizationBenchmark,opt,ll,152
OptimizationBenchmark,opt,s,398
OptimizationBenchmark,reg,ll,418
OptimizationBenchmark,reg,s,1155
OptimizationBenchmark,stack,ll,1045
OptimizationBenchmark,stack,s,1380
primes,opt,ll,48
primes,opt,s,116
primes,reg,ll,58
primes,reg,s,136
primes,stack,ll,103
primes,stack,s,162
programBreaker,opt,ll,36
programBreaker,opt,s,100
programBreaker,reg,ll,41
programBreaker,reg,s,107
programBreaker,stack,ll,84
programBreaker,stack,s,137
stats,opt,ll,130
stats,opt,s,247
stats,reg,ll,148
stats,reg,s,302
stats,stack,ll,253
stats,stack,s,348
TicTac,opt,ll,358
TicTac,opt,s,619
TicTac,reg,ll,390
TicTac,reg,s,667
TicTac,stack,ll,464
TicTac,stack,s,739
wasteOfCycles,opt,ll,25
wasteOfCycles,opt,s,63
wasteOfCycles,reg,ll,27
wasteOfCycles,reg,s,65
wasteOfCycles,stack,ll,49
wasteOfCycles,stack,s,80
