Benchmark,Compilation,Seconds
BenchMarkishTopics,c.o0,71.163
BenchMarkishTopics,c.o3,9.956
BenchMarkishTopics,opt.s,45.567
BenchMarkishTopics,reg.s,48.666
BenchMarkishTopics,stack.s,84.54599999999999
BenchMarkishTopics,c.o0,74.788
BenchMarkishTopics,c.o3,10.337
BenchMarkishTopics,opt.s,45.847
BenchMarkishTopics,reg.s,45.986
BenchMarkishTopics,stack.s,95.096
BenchMarkishTopics,c.o0,70.76
BenchMarkishTopics,c.o3,9.898
BenchMarkishTopics,opt.s,50.143
BenchMarkishTopics,reg.s,46.031
BenchMarkishTopics,stack.s,94.798
BenchMarkishTopics,c.o0,71.136
BenchMarkishTopics,c.o3,10.431
BenchMarkishTopics,opt.s,55.803
BenchMarkishTopics,reg.s,50.763
BenchMarkishTopics,stack.s,82.95
BenchMarkishTopics,c.o0,70.142
BenchMarkishTopics,c.o3,9.719
BenchMarkishTopics,opt.s,50.086
BenchMarkishTopics,reg.s,46.2
BenchMarkishTopics,stack.s,94.80799999999999
BenchMarkishTopics,c.o0,71.21000000000001
BenchMarkishTopics,c.o3,10.017
BenchMarkishTopics,opt.s,52.59
BenchMarkishTopics,reg.s,45.611
BenchMarkishTopics,stack.s,83.381
BenchMarkishTopics,c.o0,71.019
BenchMarkishTopics,c.o3,10.411
BenchMarkishTopics,opt.s,45.617
BenchMarkishTopics,reg.s,49.717
BenchMarkishTopics,stack.s,87.632
BenchMarkishTopics,c.o0,69.337
BenchMarkishTopics,c.o3,9.917
BenchMarkishTopics,opt.s,45.767
BenchMarkishTopics,reg.s,49.921
BenchMarkishTopics,stack.s,88.033
BenchMarkishTopics,c.o0,71.956
BenchMarkishTopics,c.o3,9.943
BenchMarkishTopics,opt.s,57.479
BenchMarkishTopics,reg.s,45.958
BenchMarkishTopics,stack.s,87.71000000000001
BenchMarkishTopics,c.o0,74.89
BenchMarkishTopics,c.o3,9.89
BenchMarkishTopics,opt.s,50.163
BenchMarkishTopics,reg.s,45.662
BenchMarkishTopics,stack.s,82.822
bert,c.o0,0.008
bert,c.o3,0.008
bert,opt.s,0.007
bert,reg.s,0.007
bert,stack.s,0.007
bert,c.o0,0.006
bert,c.o3,0.006
bert,opt.s,0.006
bert,reg.s,0.006
bert,stack.s,0.006
bert,c.o0,0.006
bert,c.o3,0.007
bert,opt.s,0.006
bert,reg.s,0.006
bert,stack.s,0.006
bert,c.o0,0.006
bert,c.o3,0.006
bert,opt.s,0.006
bert,reg.s,0.006
bert,stack.s,0.006
bert,c.o0,0.006
bert,c.o3,0.006
bert,opt.s,0.006
bert,reg.s,0.006
bert,stack.s,0.006
bert,c.o0,0.006
bert,c.o3,0.006
bert,opt.s,0.006
bert,reg.s,0.006
bert,stack.s,0.006
bert,c.o0,0.006
bert,c.o3,0.006
bert,opt.s,0.006
bert,reg.s,0.006
bert,stack.s,0.006
bert,c.o0,0.006
bert,c.o3,0.006
bert,opt.s,0.006
bert,reg.s,0.006
bert,stack.s,0.006
bert,c.o0,0.006
bert,c.o3,0.006
bert,opt.s,0.006
bert,reg.s,0.006
bert,stack.s,0.006
bert,c.o0,0.006
bert,c.o3,0.006
bert,opt.s,0.006
bert,reg.s,0.006
bert,stack.s,0.009
biggest,c.o0,0.011
biggest,c.o3,0.01
biggest,opt.s,0.009
biggest,reg.s,0.009
biggest,stack.s,0.009
biggest,c.o0,0.007
biggest,c.o3,0.008
biggest,opt.s,0.007
biggest,reg.s,0.007
biggest,stack.s,0.007
biggest,c.o0,0.007
biggest,c.o3,0.007
biggest,opt.s,0.007
biggest,reg.s,0.008
biggest,stack.s,0.007
biggest,c.o0,0.007
biggest,c.o3,0.007
biggest,opt.s,0.007
biggest,reg.s,0.007
biggest,stack.s,0.007
biggest,c.o0,0.007
biggest,c.o3,0.007
biggest,opt.s,0.007
biggest,reg.s,0.007
biggest,stack.s,0.007
biggest,c.o0,0.007
biggest,c.o3,0.006
biggest,opt.s,0.007
biggest,reg.s,0.007
biggest,stack.s,0.007
biggest,c.o0,0.007
biggest,c.o3,0.007
biggest,opt.s,0.007
biggest,reg.s,0.007
biggest,stack.s,0.007
biggest,c.o0,0.007
biggest,c.o3,0.007
biggest,opt.s,0.007
biggest,reg.s,0.012
biggest,stack.s,0.012
biggest,c.o0,0.012
biggest,c.o3,0.011
biggest,opt.s,0.012
biggest,reg.s,0.012
biggest,stack.s,0.012
biggest,c.o0,0.011
biggest,c.o3,0.011
biggest,opt.s,0.012
biggest,reg.s,0.012
biggest,stack.s,0.012
binaryConverter,c.o0,31.259
binaryConverter,c.o3,0.008
binaryConverter,opt.s,17.729
binaryConverter,reg.s,17.734
binaryConverter,stack.s,40.013
binaryConverter,c.o0,31.05
binaryConverter,c.o3,0.006
binaryConverter,opt.s,17.721
binaryConverter,reg.s,17.866
binaryConverter,stack.s,39.868
binaryConverter,c.o0,31.261
binaryConverter,c.o3,0.006
binaryConverter,opt.s,17.724
binaryConverter,reg.s,17.721
binaryConverter,stack.s,39.906
binaryConverter,c.o0,31.142
binaryConverter,c.o3,0.006
binaryConverter,opt.s,17.868
binaryConverter,reg.s,17.788
binaryConverter,stack.s,39.868
binaryConverter,c.o0,31.264
binaryConverter,c.o3,0.005
binaryConverter,opt.s,17.871
binaryConverter,reg.s,17.721
binaryConverter,stack.s,39.869
binaryConverter,c.o0,31.119
binaryConverter,c.o3,0.007
binaryConverter,opt.s,17.789
binaryConverter,reg.s,17.788
binaryConverter,stack.s,40.188
binaryConverter,c.o0,31.011
binaryConverter,c.o3,0.005
binaryConverter,opt.s,17.721
binaryConverter,reg.s,17.723
binaryConverter,stack.s,40.013
binaryConverter,c.o0,31.007
binaryConverter,c.o3,0.016
binaryConverter,opt.s,17.866
binaryConverter,reg.s,17.867
binaryConverter,stack.s,39.867
binaryConverter,c.o0,31.12
binaryConverter,c.o3,0.006
binaryConverter,opt.s,17.867
binaryConverter,reg.s,17.787
binaryConverter,stack.s,40.189
binaryConverter,c.o0,31.119
binaryConverter,c.o3,0.007
binaryConverter,opt.s,17.723
binaryConverter,reg.s,17.788
binaryConverter,stack.s,39.868
brett,c.o0,0.01
brett,c.o3,0.01
brett,opt.s,0.01
brett,reg.s,0.01
brett,stack.s,0.01
brett,c.o0,0.008
brett,c.o3,0.008
brett,opt.s,0.008
brett,reg.s,0.009
brett,stack.s,0.009
brett,c.o0,0.008
brett,c.o3,0.009
brett,opt.s,0.009
brett,reg.s,0.013
brett,stack.s,0.009
brett,c.o0,0.008
brett,c.o3,0.008
brett,opt.s,0.009
brett,reg.s,0.008
brett,stack.s,0.009
brett,c.o0,0.008
brett,c.o3,0.009
brett,opt.s,0.008
brett,reg.s,0.008
brett,stack.s,0.009
brett,c.o0,0.008
brett,c.o3,0.013
brett,opt.s,0.009
brett,reg.s,0.009
brett,stack.s,0.009
brett,c.o0,0.008
brett,c.o3,0.008
brett,opt.s,0.009
brett,reg.s,0.009
brett,stack.s,0.009
brett,c.o0,0.008
brett,c.o3,0.008
brett,opt.s,0.009
brett,reg.s,0.008
brett,stack.s,0.008
brett,c.o0,0.008
brett,c.o3,0.009
brett,opt.s,0.009
brett,reg.s,0.009
brett,stack.s,0.009
brett,c.o0,0.008
brett,c.o3,0.008
brett,opt.s,0.009
brett,reg.s,0.01
brett,stack.s,0.01
creativeBenchMarkName,c.o0,8.59
creativeBenchMarkName,c.o3,0.007
